ID,Time,X,Y,
11, 5/19/2020 12:49:51 PM,-926,1310,Not same
11, 5/19/2020 12:49:52 PM,-928,1310,Not same
11, 5/19/2020 12:49:54 PM,-1038,1326,Not same
11, 5/19/2020 12:49:55 PM,-1027,1330,Not same
11, 5/19/2020 12:49:56 PM,-1028,1323,Not same
11, 5/19/2020 12:49:58 PM,-906,1317,Not same
11, 5/19/2020 12:49:59 PM,-906,1317,Not same
11, 5/19/2020 12:50:01 PM,-908,1318,Not same
11, 5/19/2020 12:50:02 PM,-1039,1425,Not same
11, 5/19/2020 12:50:03 PM,-1030,1420,Not same
11, 5/19/2020 12:50:05 PM,-1103,1396,Not same
11, 5/19/2020 12:50:06 PM,-1088,1392,Not same
11, 5/19/2020 12:50:08 PM,-962,1354,Not same
11, 5/19/2020 12:50:09 PM,-980,1362,Not same
11, 5/19/2020 12:50:10 PM,-975,1360,Not same
11, 5/19/2020 12:50:12 PM,-1005,1375,Same
11, 5/19/2020 12:50:12 PM,-1005,1375,Not same
11, 5/19/2020 12:50:15 PM,-1012,1384,Not same
11, 5/19/2020 12:50:16 PM,-969,1367,Not same
11, 5/19/2020 12:50:18 PM,-978,1375,Same
11, 5/19/2020 12:50:18 PM,-978,1375,Not same
11, 5/19/2020 12:50:20 PM,-941,1369,Not same
