ID,TimeStamp,X,Y
13, 5/19/2020 12:04:57 PM,337,1768
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:10 PM,-416,1376
13, 5/19/2020 12:05:10 PM,259,1599
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:11 PM,-610,1170
13, 5/19/2020 12:05:11 PM,71,1417
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:13 PM,-745,1099
13, 5/19/2020 12:05:13 PM,-182,1281
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:14 PM,-788,1113
13, 5/19/2020 12:05:14 PM,-330,1220
,,,
11, 5/19/2020 12:05:00 PM,-146,1718
12, 5/19/2020 12:05:16 PM,-903,1165
13, 5/19/2020 12:05:15 PM,-478,1236
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:17 PM,-892,1162
13, 5/19/2020 12:05:17 PM,-683,1120
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:18 PM,-792,1135
13, 5/19/2020 12:05:18 PM,-798,1106
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:20 PM,-809,1133
13, 5/19/2020 12:05:20 PM,-823,1095
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:21 PM,-853,1139
13, 5/19/2020 12:05:21 PM,-820,1095
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:22 PM,-846,1194
13, 5/19/2020 12:05:22 PM,-821,1105
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:24 PM,-677,1474
13, 5/19/2020 12:05:24 PM,-852,1119
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:24 PM,-677,1474
13, 5/19/2020 12:05:25 PM,-843,1143
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:27 PM,-586,1341
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:28 PM,-442,1420
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:30 PM,-264,1464
,,,
11, 5/19/2020 12:05:17 PM,-419,1746
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:31 PM,-241,1451
,,,
11, 5/19/2020 12:05:29 PM,-527,1770
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:32 PM,-234,1440
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:34 PM,-219,1482
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:35 PM,-220,1480
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:26 PM,-687,1610
13, 5/19/2020 12:05:36 PM,-265,1473
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:38 PM,-732,1634
13, 5/19/2020 12:05:38 PM,-286,1469
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:39 PM,-646,1346
13, 5/19/2020 12:05:39 PM,-255,1453
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:41 PM,-696,1057
13, 5/19/2020 12:05:41 PM,-245,1454
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:42 PM,-723,1079
13, 5/19/2020 12:05:42 PM,-246,1455
,,,
11, 5/19/2020 12:05:33 PM,-471,1770
12, 5/19/2020 12:05:43 PM,-832,1111
13, 5/19/2020 12:05:43 PM,-269,1525
,,,
11, 5/19/2020 12:05:44 PM,-339,1770
12, 5/19/2020 12:05:45 PM,-818,1136
13, 5/19/2020 12:05:45 PM,-246,1490
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:46 PM,-799,1138
13, 5/19/2020 12:05:46 PM,-242,1518
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:48 PM,-794,1135
13, 5/19/2020 12:05:48 PM,-333,1347
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:49 PM,-793,1138
13, 5/19/2020 12:05:49 PM,-539,1156
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:49 PM,-793,1138
13, 5/19/2020 12:05:51 PM,-304,1487
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:52 PM,-863,1166
13, 5/19/2020 12:05:52 PM,-265,1490
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:53 PM,-820,1204
13, 5/19/2020 12:05:53 PM,-270,1495
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:55 PM,-704,1545
13, 5/19/2020 12:05:55 PM,-269,1497
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:05:56 PM,-288,1507
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:05:58 PM,-279,1501
,,,
11, 5/19/2020 12:05:45 PM,-343,1770
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:05:59 PM,-280,1502
,,,
11, 5/19/2020 12:05:59 PM,-625,1753
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:06:00 PM,-279,1501
,,,
11, 5/19/2020 12:06:02 PM,-439,1689
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:06:02 PM,-281,1493
,,,
11, 5/19/2020 12:06:03 PM,-325,1591
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:06:03 PM,-281,1494
,,,
11, 5/19/2020 12:06:05 PM,-233,1477
12, 5/19/2020 12:05:56 PM,-713,1676
13, 5/19/2020 12:06:05 PM,-242,1483
,,,
11, 5/19/2020 12:06:06 PM,-198,1460
12, 5/19/2020 12:06:06 PM,-600,1745
13, 5/19/2020 12:06:06 PM,-183,1464
,,,
11, 5/19/2020 12:06:07 PM,-200,1461
12, 5/19/2020 12:06:07 PM,-504,1765
13, 5/19/2020 12:06:07 PM,-130,1479
,,,
11, 5/19/2020 12:06:09 PM,-213,1479
12, 5/19/2020 12:06:09 PM,-287,1639
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:10 PM,-212,1474
12, 5/19/2020 12:06:10 PM,-157,1631
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:11 PM,-210,1469
12, 5/19/2020 12:06:11 PM,-21,1690
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:12 PM,-213,1470
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:14 PM,-306,1550
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:15 PM,-371,1586
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:17 PM,-570,1767
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:17 PM,-570,1767
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:13 PM,204,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:25 PM,298,1751
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:27 PM,113,1700
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:28 PM,-77,1678
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:30 PM,-339,1770
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:31 PM,-503,1767
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
12, 5/19/2020 12:06:31 PM,-503,1767
13, 5/19/2020 12:06:09 PM,-128,1692
,,,
11, 5/19/2020 12:06:19 PM,-620,1764
